Old Method Output,New Method1 Output,New Method2 Output
10544553,10544553,10544553
29001673,29001673,29001673
50294934,50294934,50294934
67571308,67571308,67571305
74004077,74004077,74004077
73934147,73934147,73934147
73822280,73822280,73822280
73654518,73654518,73654518
73414915,73414915,73414915
73085537,73085537,73085537
13543591,13543591,13543590
14408362,14408362,14408362
14379399,14379399,14379399
14317531,14317531,14317531
14207881,14207881,14207881
14033645,14033645,14033645
13776127,13776127,13776127
13414693,13414693,13414693
12926876,12926876,12926876
12288330,12288330,12288330
5272276,5272276,5272276
14500836,14500836,14500836
25147466,25147466,25147466
33785653,33785653,33785651
37002039,37002039,37002039
36967074,36967074,36967074
36911144,36911144,36911144
36827266,36827266,36827266
36707464,36707464,36707464
36542780,36542780,36542780
6802458,6802458,6802455
7314208,7314208,7314208
7299726,7299726,7299726
7268791,7268791,7268791
7213963,7213963,7213963
7126837,7126837,7126837
6998054,6998054,6998054
6817308,6817308,6817308
6573360,6573360,6573360
6254030,6254030,6254030
21089107,21089107,21089107
58003347,58003347,58003347
100589873,100589873,100589873
135142618,135142618,135142616
148008143,148008143,148008143
147868280,147868280,147868280
147644549,147644549,147644549
147309035,147309035,147309035
146829825,146829825,146829825
146171065,146171065,146171065
27024033,27024033,27024003
28596788,28596788,28596788
28538879,28538879,28538879
28415145,28415145,28415145
28195853,28195853,28195853
27847394,27847394,27847394
27332352,27332352,27332352
26609518,26609518,26609518
25633939,25633939,25633939
24356939,24356939,24356939
2636138,2636138,2636138
7250418,7250418,7250418
12573732,12573732,12573732
16892825,16892825,16892824
18501022,18501022,18501022
18483540,18483540,18483540
18455575,18455575,18455575
18413639,18413639,18413639
18353743,18353743,18353743
18271401,18271401,18271401
3430194,3430194,3430190
3767105,3767105,3767105
3759864,3759864,3759864
3744397,3744397,3744397
3716981,3716981,3716981
3673411,3673411,3673411
3609007,3609007,3609007
3518618,3518618,3518618
3396603,3396603,3396603
3236886,3236886,3236886
42178215,42178215,42178215
116006696,116006696,116006696
201179749,201179749,201179749
270285235,270285235,270285235
296016258,296016258,296016258
295736546,295736546,295736546
295289081,295289081,295289081
294618042,294618042,294618042
293659621,293659621,293659621
292342120,292342120,292342120
53983807,53983807,53983807
56973533,56973533,56973533
56857679,56857679,56857679
56610215,56610215,56610215
56171634,56171634,56171634
55474735,55474735,55474735
54444678,54444678,54444678
52999108,52999108,52999108
51048030,51048030,51048030
48494146,48494146,48494146
2519667798,2519667798,2519667798
61438622968,61489936792,61489936790
40986019178566978850,41008848982573966809,41008848982573966809
244309387287,245122803328,245122803326
163299701565857702164,163662716096883197148,163662716096883197147
603673927895,608664719224,608664719221
405065072195572728884,407306034261941170439,407306034261941170439
129999999999999321,129999999999999321,130000000000001383
100238,100238,100238
99999999999999478,99999999999999478,100000000000001064
990099,990099,990099
9425669371417815218610,9425669371417815218610,9425669371417816291989
3097355433067117856803,3097373400567203134578,3097373400567203134578
1499999999999996632283,1744520838205429186651,1744520838205429186652
2872260419102712470656,3093836321356048210197,3093836321356048210195
773459080339012052549,931772535703923003702,931772535703923003700
110157,110178,110177
120589835385749806956,121003980225809116413,121003980225809116410
80000000003701450483,80000000004383192160,80000000004383193996